,System Pout Consumption Energy [kWh],System Pout AC-coupling Energy [kWh],System Pin Consumption Energy [kWh],System Pin Injection Energy [kWh],System Batt Charge Energy [kWh],System Batt Discharge Energy [kWh],Solar Power Energy [kWh]
2018-06-04,5.971499999999997,0.0,0.0,0.0,3.456147206666667,-2.846199603333329,6.924999999999982
2018-06-05,5.994833333333339,0.0,0.0,0.0,3.227329410000006,-2.8945053733333292,6.680833333333366
2018-06-06,6.065333333333294,0.0,0.0,0.0,3.288683248333331,-2.9478043716666633,6.774666666666639
2018-06-07,5.77733333333345,0.0,0.0,0.0,3.3854197200000002,-2.6628236999999966,6.854666666666641
2018-06-08,5.761666666666782,0.0,0.0,0.0,3.1544604883333345,-2.9085461100000014,6.343333333333333
2018-06-09,5.847000000000021,0.0,0.0,0.0,3.296688403333332,-2.7135105783333366,6.788999999999995
2018-06-10,5.761500000000059,0.0,0.0,0.0,3.1714864083333323,-2.732355204999999,6.560499999999971
2018-06-11,5.760000000000117,0.0,0.0,0.0,2.5086678599999988,-3.3844801483333353,5.193166666666665
2018-06-12,5.747166666666758,0.0,0.0,0.0,3.6053336599999986,-3.389465496666675,6.269666666666634
2018-06-13,5.76416666666678,0.0,0.0,0.0,2.0106436966666674,-3.4778167883333513,4.562999999999987
2018-06-14,5.730500000000009,0.0,0.0,0.0,5.350111978333341,-2.597292826666667,8.917499999999997
2018-06-15,5.800833333333276,0.0,0.0,0.0,3.458296454999997,-2.7542973399999915,6.891999999999985
2018-06-16,5.995166666666661,0.0,0.0,0.0,3.074475423333333,-3.1500481000000056,6.247499999999977
2018-06-17,5.803000000000026,0.0,0.0,0.0,3.3549831366666654,-2.7866653799999925,6.739999999999993
2018-06-18,5.731000000000038,0.0,0.0,0.0,3.3317974233333336,-2.672982486666659,6.764499999999999
2018-06-19,5.818499999999931,0.0,0.0,0.0,3.25265625,-2.8686558783333234,6.577166666666655
2018-06-20,5.987833333333283,0.0,0.0,0.0,3.3566704033333363,-2.981206731666672,6.699833333333323
2018-06-21,5.928666666666642,0.0,0.0,0.0,3.3035863699999988,-2.722440621666662,6.872333333333341
